BuyCPanel,Bill,504100,04/25/2013,04/25/2013,,16.96,16.96
BuyCPanel,Bill,521763,05/22/2013,05/22/2013,,16.97,16.97
BuyCPanel,Bill,542177,06/22/2013,06/22/2013,,16.98,16.98
BuyCPanel,Bill,562426,07/22/2013,07/22/2013,,16.99,16.99
BuyCPanel,Bill,585439,08/22/2013,08/22/2013,,16.1,16.1
BuyCPanel,Bill,606927,09/22/2013,09/22/2013,,16.101,16.101
BuyCPanel,Bill,629452,10/22/2013,10/22/2013,,16.102,16.102
BuyCPanel,Bill,651168,11/22/2013,11/22/2013,,16.103,16.103
BuyCPanel,Bill,674577,12/22/2013,12/22/2013,,16.104,16.104
BuyCPanel,Bill,698666,01/22/2014,01/22/2014,,16.105,16.105
BuyCPanel,Bill,722199,02/22/2014,02/22/2014,,16.106,16.106
BuyCPanel,Bill,745554,03/22/2014,03/22/2014,,16.107,16.107
BuyCPanel,Bill,769653,04/22/2014,04/22/2014,,16.108,16.108
BuyCPanel,Bill,794800,05/22/2014,05/22/2014,,16.109,16.109
BuyCPanel,Bill,821028,06/22/2014,06/22/2014,,16.11,16.11
BuyCPanel,Bill,847963,07/22/2014,07/22/2014,,16.111,16.111
BuyCPanel,Bill,874142,08/22/2014,08/22/2014,,16.112,16.112
BuyCPanel,Bill,900985,09/22/2014,09/22/2014,,16.113,16.113
BuyCPanel,Bill,927692,10/22/2014,10/22/2014,,16.114,16.114
